local_province_name,year,local_type_name,local_batch_name,score
河北,2018,理科,本科一批,511
河北,2018,理科,本科二批,358
河北,2018,理科,专科批,200
河北,2018,文科,本科一批,559
河北,2018,文科,本科二批,441
河北,2018,文科,专科批,200
河北,2019,理科,本科一批,502
河北,2019,理科,本科二批,379
河北,2019,理科,专科批,200
河北,2019,文科,本科一批,549
河北,2019,文科,本科二批,461
河北,2019,文科,专科批,220
河北,2019,农林类,本科二批,563
河北,2019,畜牧兽医类,本科二批,571
河北,2019,医学类,本科二批,479
河北,2020,理科,本科批,415
河北,2020,理科,体育类（本科）,215
河北,2020,理科,体育类（高职专科）,140
河北,2020,理科,专科批,200
河北,2020,理科,特殊类型录取控制线（强基计划等）,520
河北,2020,文科,本科批,465
河北,2020,文科,体育类（本科）,305
河北,2020,文科,体育类（高职专科）,140
河北,2020,文科,专科批,220
河北,2020,文科,特殊类型录取控制线（强基计划等）,538
河北,2020,艺术类,本科批(统考未涉及的校考),291
河北,2020,艺术类,本科批(美术校考（且其中两门科目各不低于60分）),291
河北,2020,艺术类,本科批(舞蹈校考),291
河北,2020,艺术类,本科批(器乐校考),291
河北,2020,艺术类,本科批(声乐校考),291
河北,2020,艺术类,本科批(服装设计与表演类校际联考),291
河北,2020,艺术类,本科批(播音与主持艺术校际联考),291
河北,2020,艺术类,本科批(书法学校际联考),291
河北,2020,艺术类,本科批(戏剧与影视学类校际联考),291
河北,2020,艺术类,本科批(美术统考（且其中两门科目各不低于60分）),291
河北,2020,艺术类,本科批(舞蹈统考),291
河北,2020,艺术类,本科批(器乐统考),291
河北,2020,艺术类,本科批(声乐统考),291
河北,2020,艺术类,专科批(统考未涉及的校考),140
河北,2020,艺术类,专科批(服装设计与表演类校际联考),140
河北,2020,艺术类,专科批(播音与主持艺术校际联考),140
河北,2020,艺术类,专科批(书法学校际联考),140
河北,2020,艺术类,专科批(戏剧与影视学类校际联考),140
河北,2020,艺术类,专科批(美术统考),140
河北,2020,艺术类,专科批(舞蹈统考),140
河北,2020,艺术类,专科批(器乐统考),140
河北,2020,艺术类,专科批(声乐统考),140
local_province_name,year,local_type_name,local_batch_name,score
河北,2018,理科,本科一批,511
河北,2018,理科,本科二批,358
河北,2018,理科,专科批,200
河北,2018,文科,本科一批,559
河北,2018,文科,本科二批,441
河北,2018,文科,专科批,200
河北,2018,理科,本科一批,511
河北,2018,理科,本科二批,358
河北,2018,理科,专科批,200
河北,2018,文科,本科一批,559
河北,2018,文科,本科二批,441
河北,2018,文科,专科批,200
河北,2019,理科,本科一批,502
河北,2019,理科,本科二批,379
河北,2019,理科,专科批,200
河北,2019,文科,本科一批,549
河北,2019,文科,本科二批,461
河北,2019,文科,专科批,220
河北,2019,农林类,本科二批,563
河北,2019,畜牧兽医类,本科二批,571
河北,2019,医学类,本科二批,479
河北,2019,理科,本科一批,502
河北,2019,理科,本科二批,379
河北,2019,理科,专科批,200
河北,2019,文科,本科一批,549
河北,2019,文科,本科二批,461
河北,2019,文科,专科批,220
河北,2019,农林类,本科二批,563
河北,2019,畜牧兽医类,本科二批,571
河北,2019,医学类,本科二批,479
河北,2020,理科,本科批,415
河北,2020,理科,体育类（本科）,215
河北,2020,理科,体育类（高职专科）,140
河北,2020,理科,专科批,200
河北,2020,理科,特殊类型录取控制线（强基计划等）,520
河北,2020,文科,本科批,465
河北,2020,文科,体育类（本科）,305
河北,2020,文科,体育类（高职专科）,140
河北,2020,文科,专科批,220
河北,2020,文科,特殊类型录取控制线（强基计划等）,538
河北,2020,艺术类,本科批(统考未涉及的校考),291
河北,2020,艺术类,本科批(美术校考（且其中两门科目各不低于60分）),291
河北,2020,艺术类,本科批(舞蹈校考),291
河北,2020,艺术类,本科批(器乐校考),291
河北,2020,艺术类,本科批(声乐校考),291
河北,2020,艺术类,本科批(服装设计与表演类校际联考),291
河北,2020,艺术类,本科批(播音与主持艺术校际联考),291
河北,2020,艺术类,本科批(书法学校际联考),291
河北,2020,艺术类,本科批(戏剧与影视学类校际联考),291
河北,2020,艺术类,本科批(美术统考（且其中两门科目各不低于60分）),291
河北,2020,理科,本科批,415
河北,2020,理科,体育类（本科）,215
河北,2020,理科,体育类（高职专科）,140
河北,2020,理科,专科批,200
河北,2020,理科,特殊类型录取控制线（强基计划等）,520
河北,2020,文科,本科批,465
