author_first,city_code1,ym1,city_unitn1,city_units1,class_num1,mag_classn1,class_num_num1,mag_classn_num1,coauthor1,city_code2,ym2,city_unitn2,city_units2,class_num2,mag_classn2,class_num_num2,mag_classn_num2,coauthor2
刘瑞明,1100.0,2016-10-01;2017-03-01;,1.0,中国人民大学;,G;F;D;F;,经济与管理;经济与管理;,3,1, 赵仁杰; 段雨玮; 黄维乔;,6101.0,2015-08-01;2015-04-01;2011-12-01;2011-12-01;2007-10-01;,1.0,西北大学;,F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1,1, 赵仁杰; 石磊; 石磊; 白永秀;
刘瑞明,3100.0,2010-01-01;2011-01-01;,1.0,复旦大学;,F;F;F;F;F;,经济与管理;经济与管理;,1,1, 石磊;,6101.0,2015-08-01;2015-04-01;2011-12-01;2011-12-01;2007-10-01;,1.0,西北大学;,F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1,1, 赵仁杰; 石磊; 石磊; 白永秀;
刘瑶,2102.0,2012-10-01;,1.0,东北财经大学;,F;F;F;,经济与管理;,1,1, 孙浦阳;,1200.0,2011-03-01;,1.0,南开大学;,F;F;,经济与管理;,1,1,
刘畅,3201.0,2017-07-01;,1.0,南京农业大学;,C;,经济与管理;,1,1, 易福金; 徐志刚;,1100.0,2017-08-01;,1.0,北京大学;,F;F;,经济与管理;,1,1, 刘冲; 马光荣;
刘胜会,1100.0,2011-10-01;,1.0,中国人民银行;,F;,经济与管理;,1,1,,1200.0,2006-06-01;,1.0,南开大学;,F;,经济与管理;,1,1,
刘阳,3201.0,2013-12-01;,1.0,南京师范大学;,F;,经济与管理;,1,1, 董俊杰;,1200.0,2003-08-01;,1.0,南开大学;,F;,经济与管理;,1,1,
刘青,1200.0,2007-02-01;,1.0,南开大学;,F;,经济与管理;,1,1, 刘志远; 张健;,1100.0,2017-01-01;2012-07-01;,2.0,对外经济贸易大学;中国社会科学院;;,F;F;,经济与管理;经济与管理;,1,1, 陶攀; 洪俊杰;;
刘静,1100.0,2008-01-01;,1.0,中国农业科学院;,F;,经济与管理;,1,1, Ruth Meinzen-Dick; 钱克明; 张陆彪; 蒋藜;,1200.0,2002-06-01;,1.0,南开大学;,F;,经济与管理;,1,1,
刘飞,4201.0,2013-02-01;,1.0,中南财经政法大学;,F;F;F;,经济与管理;,1,1,,6101.0,2015-04-01;2014-06-01;2011-08-01;,2.0,西安邮电大学;西安交通大学;;,F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,;;
卢晶亮,3100.0,2014-04-01;,1.0,上海财经大学;,D;F;F;,经济与管理;,2,1, 冯帅章; 艾春荣;,4401.0,2017-01-01;,1.0,暨南大学;,F;F;,经济与管理;,1,1,
叶光亮,4401.0,2010-01-01;,1.0,中山大学;,F;F;,经济与管理;,1,1, 邓国营;,1100.0,2011-12-01;,1.0,中国人民大学;,F;F;,经济与管理;,1,1, 邓国营; 黎志刚;
吴先明,4201.0,2017-10-01;,1.0,武汉大学;,F;F;,经济与管理;,1,1, 张楠; 赵奇伟;,1200.0,2002-08-01;,1.0,南开大学;,F;,经济与管理;,1,1,
吴志峰,4403.0,2006-05-01;,1.0,招商银行;,F;F;,经济与管理;,1,1,,1100.0,2005-06-01;,1.0,北京大学;,F;,经济与管理;,1,1,
吴联生,1100.0,2009-10-01;2007-08-01;2005-07-01;2004-03-01;2003-06-01;2002-04-01;,1.0,北京大学;,F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1,1, 王亚平; 王亚平;,3502.0,2001-02-01;,1.0,厦门大学;,F;,经济与管理;,1,1,
周丹,3301.0,2014-02-01;,1.0,浙江财经大学;,F;F;,经济与管理;,1,1, 金雪军;,1100.0,2015-06-01;,1.0,北京农学院;,F;F;,经济与管理;,1,1,
周云波,1200.0,2017-11-01;2009-07-01;2004-06-01;,1.0,南开大学;,F;F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1, 田柳; 陈岑;,1100.0,2015-12-01;,1.0,中国特色社会主义经济建设协同创新中心;,F;F;,经济与管理;,1,1, 陈岑; 田柳;
周冰,1200.0,2001-01-01;2008-04-01;2006-12-01;2004-10-01;,1.0,南开大学;,F;D;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;,2,1, 郑志; 黄卫华; 商晨; 谭庆刚; 谭庆刚;,3100.0,2012-02-01;,1.0,申银万国证券;,F;,经济与管理;,1,1,
周密,3201.0,2006-09-01;,1.0,河海大学;,F;,经济与管理;,1,1, 张桂霞;,1200.0,2017-02-01;2012-06-01;,1.0,南开大学;,F;F;F;,经济与管理;经济与管理;,1,1, 刘秉镰; 盛玉雪;
周建,3100.0,2013-02-01;2015-02-01;2009-01-01;2007-06-01;,1.0,上海财经大学;,F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;,1,1, 艾春荣; 王丹枫; 唐莹; 况明; 杨秀祯;,1100.0,2002-04-01;,1.0,清华大学;,F;,经济与管理;,1,1,
周建波,3100.0,2003-05-01;,1.0,上海财经大学;,F;,经济与管理;,1,1, 孙菊生;,1100.0,2017-04-01;2013-10-01;,1.0,北京大学;,F;F;K;,经济与管理;经济与管理;,2,1, 张博; 周建涛; 张博; 周建涛;
周彬,3301.0,2003-09-01;,1.0,浙江大学;,F;,经济与管理;,1,1,,1100.0,2001-02-01;,1.0,工商银行;,F;,经济与管理;,1,1,
周文,5301.0,2012-05-01;,1.0,云南财经大学;,F;F;,经济与管理;,1,1, 赵果庆;,3100.0,2017-06-01;2016-03-01;,1.0,复旦大学;,D;F;F;F;,经济与管理;经济与管理;,2,1, 赵方; 杨飞; 李鲁;
周炎,5301.0,2017-12-01;,1.0,云南财经大学;,F;,经济与管理;,1,1, 王如丰; 魏熙晔; 黄晶;,1100.0,2012-07-01;,1.0,北京大学;,F;F;,经济与管理;,1,1, 陈昆亭;
周炎,5301.0,2017-12-01;,1.0,云南财经大学;,F;,经济与管理;,1,1, 王如丰; 魏熙晔; 黄晶;,3301.0,2016-01-01;,1.0,浙江工业大学;,F;,经济与管理;,1,1, 黄晶; 魏熙晔; 陈昆亭;
周炎,1100.0,2012-07-01;,1.0,北京大学;,F;F;,经济与管理;,1,1, 陈昆亭;,3301.0,2016-01-01;,1.0,浙江工业大学;,F;,经济与管理;,1,1, 黄晶; 魏熙晔; 陈昆亭;
周燕,1200.0,2012-10-01;,1.0,南开大学;,F;F;,经济与管理;,1,1, 佟家栋;,4401.0,2017-08-01;,1.0,中山大学;,D;F;,经济与管理;,2,1,
周鹏,1100.0,2001-09-01;,1.0,中国银行;,F;,经济与管理;,1,1,,2102.0,2014-12-01;2004-10-01;2002-06-01;,1.0,东北财经大学;,F;F;F;,经济与管理;经济与管理;经济与管理;,1,1, 燕浩珍; 张思杰; 张宏志;
唐庆春,1100.0,2001-06-01;,1.0,中国民生银行;,F;,经济与管理;,1,1,,1200.0,2001-12-01;,1.0,南开大学;,F;,经济与管理;,1,1, 庞继英;
唐跃军,1200.0,2006-02-01;,1.0,南开大学;,F;,经济与管理;,1,1, 谢仍明;,3100.0,2014-02-01;2010-01-01;2008-01-01;2009-02-01;2007-12-01;,1.0,复旦大学;,D;F;F;F;F;D;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,2,1, 左晶晶; 李汇东; 宋渊洋; 吕斐适; 程新生; 赵武阳;
姚勇,1100.0,2005-04-01;,1.0,中国人民大学;,F;,经济与管理;,1,1, 董利;,1200.0,2003-04-01;,1.0,南开大学;,F;,经济与管理;,1,1, 罗娅;
姚树洁,6101.0,2005-07-01;,1.0,西安交通大学;,F;,经济与管理;,1,1, 冯根福; 韩钟伟;,5000.0,2017-05-01;2015-12-01;2014-11-01;,1.0,重庆大学;,F;F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1, 冯根福; 王攀; 欧璄华;
姚洪心,3100.0,2012-07-01;,1.0,东华大学;,F;F;F;,经济与管理;,1,1, 海闻;,5101.0,2005-08-01;,1.0,西南交通大学;,F;,经济与管理;,1,1, 刘存绪; 武振业;
孙军,3201.0,2008-10-01;,1.0,南京大学;,F;F;F;,经济与管理;,1,1,,3207.0,2016-05-01;,1.0,淮海工学院;,F;,经济与管理;,1,1, 高彦彦;
孙凤,1200.0,2001-02-01;,1.0,南开大学;,F;,经济与管理;,1,1,,1100.0,2002-04-01;,1.0,清华大学;,F;,经济与管理;,1,1,
孙君阳,3701.0,2008-09-01;,1.0,山东大学;,F;,经济与管理;,1,1, 殷世波;,1100.0,2011-08-01;,1.0,中央财经大学;,F;F;,经济与管理;,1,1, 徐娜;
孙天琦,3701.0,2004-08-01;,1.0,山东大学;,F;,经济与管理;,1,1,,6101.0,2001-10-01;,1.0,西安交通大学;,F;,经济与管理;,1,1,
孙楚仁,5101.0,2017-06-01;,1.0,西南财经大学;,F;F;F;,经济与管理;,1,1, 凌海涛; 陈瑾;,3100.0,2014-10-01;,1.0,上海对外经贸大学;,F;,经济与管理;,1,1, 王松; 赵瑞丽;
孙涛,1100.0,2007-07-01;,1.0,中国人民银行;,F;,经济与管理;,1,1, 张晓晶;,3701.0,2010-12-01;,1.0,山东大学;,F;F;,经济与管理;,1,1, 黄少安;
孙红梅,3100.0,2013-07-01;,1.0,上海师范大学;,F;F;F;,经济与管理;,1,1, 王雪;,5000.0,2017-05-01;,1.0,重庆大学;,F;,经济与管理;,1,1, 宋宗宇;
孙茂辉,3100.0,2006-11-01;,1.0,上海师范大学;,F;,经济与管理;,1,1,,4401.0,2001-08-01;,1.0,中山大学;,F;,经济与管理;,1,1,
孟庆斌,1100.0,2015-03-01;2017-12-01;,1.0,中国人民大学;,F;F;F;,经济与管理;经济与管理;,1,1, 吴卫星; 于上尧; 杨俊华; 鲁冰;,1200.0,2008-08-01;,1.0,南开大学;,F;F;,经济与管理;,1,1, 周爱民; 靳晓婷;
宋凌云,4401.0,2012-10-01;,1.0,中山大学;,F;F;,经济与管理;,1,1, 王贤彬; 徐现祥;,4503.0,2016-12-01;,1.0,广西师范大学;,F;,经济与管理;,1,1, 王贤彬;
尹振东,3701.0,2011-04-01;,1.0,山东大学;,D;,经济与管理;,1,1,,1100.0,2016-04-01;,1.0,中央财经大学;,F;,经济与管理;,1,1, 汤玉刚;
巫强,3201.0,2009-06-01;,1.0,南京大学;,F;F;,经济与管理;,1,1, 刘志彪;,1100.0,2017-08-01;,1.0,对外经济贸易大学;,F;,经济与管理;,1,1, 周波;
巴曙松,1100.0,2012-06-01;,1.0,国务院;,F;,经济与管理;,1,1, 韦勇凤; 孙兴亮;,3401.0,2009-06-01;,1.0,中国科学技术大学;,F;F;F;,经济与管理;,1,1, 严敏;
张东刚,1200.0,2001-06-01;,1.0,南开大学;,F;,经济与管理;,1,1,,1100.0,2002-12-01;,1.0,中国社会历史研究中心;,F;,经济与管理;,1,1,
张云,1100.0,2015-07-01;,1.0,中国农业银行;,F;F;,经济与管理;,1,1,,1200.0,2017-10-01;,1.0,南开大学;,F;F;,经济与管理;,1,1, 刘帅光; 李双建;
张伟,3201.0,2016-12-01;,1.0,南京航空航天大学;,F;F;F;,经济与管理;,1,1, 朱启贵; 高辉;,1100.0,2004-07-01;,1.0,中国人民银行;,F;,经济与管理;,1,1,
张伟,3201.0,2016-12-01;,1.0,南京航空航天大学;,F;F;F;,经济与管理;,1,1, 朱启贵; 高辉;,5201.0,2013-10-01;2011-10-01;,2.0,贵州财经大学;贵州大学;;,F;X;F;F;,经济与管理;经济与管理;,2,1, 朱启贵; 李汉文; 吴文元;
张伟,3201.0,2016-12-01;,1.0,南京航空航天大学;,F;F;F;,经济与管理;,1,1, 朱启贵; 高辉;,3701.0,2017-03-01;,1.0,山东大学;,F;,经济与管理;,1,1, 于良春;
张伟,1100.0,2004-07-01;,1.0,中国人民银行;,F;,经济与管理;,1,1,,5201.0,2013-10-01;2011-10-01;,2.0,贵州财经大学;贵州大学;;,F;X;F;F;,经济与管理;经济与管理;,2,1, 朱启贵; 李汉文; 吴文元;
张伟,1100.0,2004-07-01;,1.0,中国人民银行;,F;,经济与管理;,1,1,,3701.0,2017-03-01;,1.0,山东大学;,F;,经济与管理;,1,1, 于良春;
张伟,5201.0,2013-10-01;2011-10-01;,2.0,贵州财经大学;贵州大学;;,F;X;F;F;,经济与管理;经济与管理;,2,1, 朱启贵; 李汉文; 吴文元;,3701.0,2017-03-01;,1.0,山东大学;,F;,经济与管理;,1,1, 于良春;
张兵,1200.0,2011-09-01;2015-06-01;2012-08-01;,1.0,南开大学;,F;F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1, 李翠莲;,3201.0,2010-11-01;2008-09-01;2003-01-01;2017-10-01;2015-01-01;,2.0,南京大学;南京农业大学;;,F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1,1, 范致镇; 李心丹; 封思贤; 李心丹; 汪慧建; 李晓明; 陈晓莹; 李丹; 孟德峰;
张勇,2102.0,2017-04-01;,1.0,东北财经大学;,F;F;F;,经济与管理;,1,1,,4401.0,2008-02-01;,1.0,华南师范大学;,F;F;,经济与管理;,1,1,
张勇,2102.0,2017-04-01;,1.0,东北财经大学;,F;F;F;,经济与管理;,1,1,,1100.0,2014-10-01;2009-05-01;,2.0,北京大学;中国人民大学;;,F;F;F;F;F;,经济与管理;经济与管理;,1,1, 李政军; 龚六堂; 王玺; 古明明;
张勇,2102.0,2017-04-01;,1.0,东北财经大学;,F;F;F;,经济与管理;,1,1,,3201.0,2015-07-01;,1.0,南京师范大学;,F;,经济与管理;,1,1,
张勇,4401.0,2008-02-01;,1.0,华南师范大学;,F;F;,经济与管理;,1,1,,1100.0,2014-10-01;2009-05-01;,2.0,北京大学;中国人民大学;;,F;F;F;F;F;,经济与管理;经济与管理;,1,1, 李政军; 龚六堂; 王玺; 古明明;
张勇,4401.0,2008-02-01;,1.0,华南师范大学;,F;F;,经济与管理;,1,1,,3201.0,2015-07-01;,1.0,南京师范大学;,F;,经济与管理;,1,1,
张勇,1100.0,2014-10-01;2009-05-01;,2.0,北京大学;中国人民大学;;,F;F;F;F;F;,经济与管理;经济与管理;,1,1, 李政军; 龚六堂; 王玺; 古明明;,3201.0,2015-07-01;,1.0,南京师范大学;,F;,经济与管理;,1,1,
张卫国,3701.0,2011-08-01;2008-02-01;,2.0,山东社会科学院;山东大学;;,F;D;H;,经济与管理;经济与管理;,3,1, 任燕燕; 花小安;;,5000.0,2011-07-01;2015-08-01;,2.0,重庆大学;西南大学;;,F;F;F;F;F;F;,经济与管理;经济与管理;,1,1, 梁小翠; 陆静; 罗超平; 李海明;
张卫平,3100.0,2012-04-01;,1.0,复旦大学;,F;F;,经济与管理;,1,1, 李天栋;,1100.0,2007-07-01;,1.0,北京大学;,F;F;,经济与管理;,1,1,
张同龙,4401.0,2017-01-01;,1.0,华南农业大学;,D;,经济与管理;,1,1, 张林秀;,1200.0,2008-01-01;,1.0,天津师范大学;,F;,经济与管理;,1,1,
张宁,1100.0,2006-07-01;,1.0,清华大学;,F;,经济与管理;,1,1, 胡鞍钢; 郑京海;,4401.0,2005-06-01;,1.0,中山大学;,F;F;,经济与管理;,1,1,
张宇,1100.0,2017-05-01;2016-06-01;,1.0,中国人民大学;,F;F;F;,经济与管理;经济与管理;,1,1,,1200.0,2014-04-01;2010-07-01;2013-06-01;,1.0,南开大学;,F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1, 蒋殿春;
张峰,1100.0,2017-04-01;,1.0,中国特色社会主义经济建设协同创新中心;,D;,经济与管理;,1,1, 黄玖立; 禹航;,1200.0,2016-02-01;,1.0,南开大学;,F;D;,经济与管理;,2,1, 黄玖立; 王睿;
张平,1100.0,2016-08-01;2006-02-01;,1.0,中国社会科学院;,F;F;,经济与管理;经济与管理;,1,1, 郭冠清;,3100.0,2016-12-01;2012-01-01;,1.0,复旦大学;,F;F;D;F;F;,经济与管理;经济与管理;,2,1, 侯一麟; 赵国昌; 罗知;
张庆君,1100.0,2013-06-01;,1.0,中国社会科学院;,F;F;,经济与管理;,1,1, 何德旭;,1200.0,2017-07-01;,1.0,天津财经大学;,F;F;,经济与管理;,1,1, 刘靖;
张建军,1100.0,2001-09-01;,1.0,中国人民银行;,F;,经济与管理;,1,1,,4201.0,2017-03-01;,1.0,华中科技大学;,D;,经济与管理;,1,1,
张强,5301.0,2015-10-01;,1.0,云南财经大学;,F;,经济与管理;,1,1, 李颖异;,1100.0,2002-11-01;2011-04-01;,2.0,中国人民银行;中国人民大学;;,F;F;F;,经济与管理;经济与管理;,1,1, 刘西顺; 王伟; 卢荻;
张强,5301.0,2015-10-01;,1.0,云南财经大学;,F;,经济与管理;,1,1, 李颖异;,4301.0,2010-04-01;2005-09-01;2002-05-01;,1.0,湖南大学;,F;F;F;,经济与管理;经济与管理;经济与管理;,1,1, 武次冰; 刘彦; 付强;
张强,1100.0,2002-11-01;2011-04-01;,2.0,中国人民银行;中国人民大学;;,F;F;F;,经济与管理;经济与管理;,1,1, 刘西顺; 王伟; 卢荻;,4301.0,2010-04-01;2005-09-01;2002-05-01;,1.0,湖南大学;,F;F;F;,经济与管理;经济与管理;经济与管理;,1,1, 武次冰; 刘彦; 付强;
张惠,4401.0,2015-06-01;,1.0,华南师范大学;,D;,经济与管理;,1,1,,3201.0,2010-12-01;,1.0,南京财经大学;,F;,经济与管理;,1,1, 陆岷峰;
张晏,1100.0,2004-07-01;,1.0,北京大学;,F;,经济与管理;,1,1, 龚六堂;,3100.0,2005-10-01;,1.0,复旦大学;,F;F;,经济与管理;,1,1, 龚六堂;
