,author_first,unit_city_code,unitnum,unitdiff
27148,毛光烈,3301.0,2,浙江省发展和改革委员会;浙江省科学技术厅;
27149,毛光烈,3302.0,2,宁波市人民政府;宁波市委;
27150,毛光远,6230.0,2,甘肃民族师范学院;合作民族师范高等专科学校;
27151,毛克盾,4228.0,3,湖北省知识产权培训﹝恩施﹞基地;国家知识产权培训(恩施)基地;湖北民族学院;
27152,毛军,1100.0,3,北京师范大学;中国科学院;国家科学数字图书馆;
27153,毛刚,2201.0,2,吉林省科技信息研究所;吉林大学;
27154,毛刚,5101.0,2,西南交通大学;四川省城乡规划设计研究院;
27155,毛勒堂,3100.0,2,上海师范大学;复旦大学;
27156,毛勒堂,5301.0,2,云南师大经济政法学院;云南师范大学;
27157,毛卉,4201.0,3,武汉市人大常委会法规室;武汉市人大常委会法规工作室;武汉大学;
27158,毛华配,3303.0,2,浙江温州茶山高教园区温州大学;温州大学;
27159,毛娟,5101.0,2,四川师范大学;四川大学;
27160,毛媛媛,3100.0,2,复旦大学;同济大学;
27161,毛宣国,4301.0,2,中南大学;湖南师范大学;
27162,毛峰,1100.0,2,北京师范大学;国家统计局;
27163,毛巧晖,3100.0,2,华东师范大学;复旦大学;
27164,毛庆,4201.0,2,湖北省社会科学院;湖北广播电视总台;
27165,毛延生,2301.0,2,哈尔滨工程大学;黑龙江大学;
27166,毛延生,3201.0,2,江苏省南京大学;南京大学;
27167,毛建平,5000.0,2,西南政法大学;重庆市人民检察院;
27168,毛建波,1100.0,2,中国美院;中国美院研究生处;
27169,毛德松,3201.0,2,南京邮电大学;南京人口学院;
27170,毛志雄,5101.0,3,四川大学;成都市委办公厅;成都市政府;
27171,毛慧,3308.0,2,衢州博物馆;衢州市博物馆;
27172,毛才盛,3302.0,2,浙江纺织服装职业技术学院;宁波职业技术学院;
27173,毛振华,1100.0,2,中国人民大学;中国诚信信用管理有限公司;
27174,毛振华,3301.0,2,浙江外国语学院;浙江大学;
27175,毛捷,1100.0,2,对外经济贸易大学;清华大学;
27176,毛新雅,3100.0,2,复旦大学;中国浦东干部学院;
27177,毛时安,3100.0,3,上海市文化局;上海文广局;上海市人民政府;
27178,毛明,5101.0,2,四川大学;四川师范大学;
27179,毛杰,3100.0,4,复旦大学;华东政法大学;上海师范大学;华东师范大学;
27180,毛杰,3302.0,3,宁波市国家税务局;浙江省宁波市国家税务局;宁波市鄞州区国家税务局;
27181,毛栋英,3100.0,2,上海市浦东新区区委党校;浦东新区区委党校;
27182,毛殊凡,1100.0,2,北京师范大学;教育部;
27183,毛毅,6101.0,2,西安石油大学;西安交通大学;
27184,毛海明,4301.0,2,湖南大学;湖南大學嶽麓書院;
27185,毛润泽,3100.0,2,上海师范大学;上海财经大学;
27186,毛燕,5101.0,3,四川大学;四川省委党校;西南民族大学;
27187,毛琦,1100.0,2,首都经济贸易大学;中国艺术研究院;
27188,毛磊,3211.0,2,江苏大学;江苏科技大学;
27189,毛磊,4201.0,2,中南财经政法大学;华中科技大学;
27190,毛竹,5101.0,2,西南财经大学;四川师范大学;
27191,毛羽,1100.0,6,中国银行;中央音乐学院;中国视协;国家新闻出版广电总局;国家广电总局;国家广播电影电视总局;
27192,毛腾飞,4301.0,3,中南大学;湖南省发展计划委员会;湖南省发展与改革委员会;
27193,毛良斌,3301.0,2,浙江传媒学院;浙江大学;
27194,毛艳,4201.0,2,华中师范大学;武汉大学;
27195,毛茜,5101.0,2,四川师范大学;西华大学;
27196,毛荐其,1100.0,2,中国煤炭经济学院;北京交通大学;
27197,毛菊,1100.0,2,北京师范大学;教育部;
27198,毛超峰,4108.0,2,河南省焦作市人民政府;河南省焦作市市长;
27199,毛锋,1100.0,2,北京大学;清华大学;
27200,毛锐,2201.0,2,吉林大学;吉林工程技术师范学院;
27201,毛阳光,1100.0,2,北京师范大学;首都师范大学;
27202,毛颖,3201.0,2,南京财经大学;南京博物院;
27203,毛颖,3211.0,2,镇江博物馆;江苏镇江博物馆;
27204,毛颖,4201.0,2,华中师范大学;武汉理工大学;
27205,毛飞,1100.0,2,中国人民大学;中国气象科学研究院;
27206,毛飞,4201.0,2,军事经济学院;武汉大学;
27207,毛鹏,1100.0,2,中国新闻出版研究院;中国出版科学研究所;
27208,毛鹏,3201.0,2,南京林业大学;东南大学;
27209,毛龙江,3201.0,2,南京信息工程大学;南京大学;
27210,江世银,1100.0,2,中国人民大学;中央财经大学;
27211,江世银,5101.0,2,四川省委党校;西南财经大学;
27212,江东,1100.0,3,中国航空史研究会;中国艺术研究院;中国科学院;
27213,江丽,1100.0,4,中国人民大学;中国农业大学;北京商报;北京现代商报;
27214,江丽娜,1100.0,2,中国人民大学;中国出口信用保险公司;
27215,江丽娜,4201.0,2,武汉大学;湖北省政协;
27216,江亮,1200.0,2,天津师范大学;天津外国语大学;
27217,江伟,1100.0,5,北京大学;中国人民大学;北京市委党校;华北电力大学;北京市第一中级人民法院;
27218,江伟涛,3100.0,2,上海交通大学;复旦大学;
27219,江光华,1100.0,2,北京科学学研究中心;中央党校;
27220,江克忠,3201.0,2,南京审计大学;南京大学;
27221,江冰,1100.0,3,国家能源局;国务院;国家信息中心;
27222,江凌,1100.0,5,中国法制出版社;国务院;中国人民大学;北京大学;中国国际出版集团;
27223,江凌,4201.0,4,武汉大学;湖北省新闻出版集团;湖北少年儿童出版社;湖北新闻出版集团;
27224,江利华,4503.0,2,桂林旅游学院;广西桂林旅游学院;
27225,江勇,3100.0,2,华东师范大学;同济大学;
27226,江勇,3301.0,2,浙江省城乡规划设计研究院;浙江省高级人民法院;
27227,江华,1100.0,2,首都经济贸易大学;中国石油;
27228,江华,4201.0,3,武汉理工大学;海军工程大学;华中师范大学;
27229,江合友,3201.0,2,南京师范大学;南京大学;
27230,江声皖,3410.0,4,安徽电大黄山市分校远程教育应用研究所;安徽电大黄山分校远程教育应用研究所;安徽省黄山市屯溪区黄山市电视大学;安徽电大黄山分校;
27231,江小华,1100.0,2,中国光大银行;光大银行;
27232,江小青,1100.0,2,国家开放大学;中央广播电视大学;
27233,江山,1100.0,5,北京理工大学;清华大学;对外经济贸易大学;中国科学技术信息研究所;北京联合大学;
27234,江山,3100.0,2,上海大学;上海交通大学;
27235,江山,3601.0,3,南昌航空大学;江西财经大学;江西科技师范大学;
27236,江岚,4201.0,3,武汉体育学院;湖北大学;武汉大学;
27237,江帆,1100.0,3,中国人民大学;北京电影学院;求是杂志社;
27238,江帆,3100.0,3,复旦大学;上海外国语大学;上海交通大学;
27239,江帆,4201.0,3,中南财经政法大学;华中科技大学;华中师范大学;
27240,江平,1100.0,5,中国政法大学;原中央统战部;中国电影股份有限公司;中国电影集团;国家广电总局;
27241,江平,3100.0,2,华东师范大学;上海电影集团;
27242,江平,3301.0,2,杭州师范大学;杭州市下沙高教东区杭州师范大学;
27243,江建华,1100.0,2,建设银行;中国石油;
27244,江建新,3602.0,3,景德镇市陶瓷考古研究所;景德镇陶瓷考古研究所;江西景德镇陶瓷考古研究所;
27245,江必新,1100.0,3,最高人民法院;中国法学会;北京大学;
27246,江必新,4301.0,4,中南大学;湖南省高级人民法院;湖南高级人民法院;湖南省高级法院;
27247,江怡,1100.0,3,北京师范大学;中国社会科学院;教育部;
27248,江振华,4401.0,2,暨南大学;广东财经大学;
27249,江新,1100.0,3,北京语言大学;北京师范大学;北京大学;
27250,江时学,1100.0,2,中国社会科学院;中国拉美学会;
27251,江易华,4201.0,2,湖北工业大学;华中师范大学;
27252,江春,1100.0,2,对外经济贸易大学;中国国际金融学会;
27253,江晨,3100.0,2,上海大学;上海政法学院;
27254,江林,3100.0,2,上海师范大学;华东理工大学;
27255,江林昌,1100.0,3,中国社会科学院;中国学术研究所;中国先秦史学会;
27256,江毅,1100.0,2,中国地质大学;北京大学;
27257,江永华,1100.0,2,国家检察官学院;北京体育大学;
