author_first,city_code1,ym1,coauthor1,class_num1,mag_classn1,city_code2,ym2,coauthor2,class_num2,mag_classn2,move_time,class_overlap,mag_overlap,coauthor_overlap
刘拥军,1100.0,2004-04-01;,,F;,经济与管理;,1200.0,2002-02-01;,,F;,经济与管理;,1,1,1,0
刘文革,3301.0,2016-11-01;2016-01-01;, 周方召; 肖园园; 谢杰; 孙瑾;,F;F;F;F;,经济与管理;经济与管理;,2301.0,2005-07-01;2003-12-01;, 关立新; 张广中; 曲振涛;,F;F;,经济与管理;经济与管理;,1,1,1,0
刘斌,1100.0,2016-03-01;2016-09-01;2003-09-01;2002-07-01;2001-07-01;2001-10-01;, 魏倩; 吕越; 祝坤福; 王乃嘉; 张怀清;,F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1200.0,2012-01-01;, 李磊;,F;F;F;,经济与管理;,2,1,1,0
刘晴,3401.0,2017-05-01;, 程玲; 邵智; 陈清萍;,F;F;,经济与管理;,3100.0,2013-09-01;, 徐蕾;,F;F;,经济与管理;,1,1,1,0
刘洪军,1200.0,2002-10-01;,,F;,经济与管理;,2301.0,2004-04-01;,,F;,经济与管理;,1,1,1,0
刘瑞明,1100.0,2016-10-01;2017-03-01;, 赵仁杰; 段雨玮; 黄维乔;,G;F;D;F;,经济与管理;经济与管理;,3100.0,2010-01-01;2011-01-01;, 石磊;,F;F;F;F;F;,经济与管理;经济与管理;,1,1,1,0
刘瑞明,1100.0,2016-10-01;2017-03-01;, 赵仁杰; 段雨玮; 黄维乔;,G;F;D;F;,经济与管理;经济与管理;,6101.0,2015-08-01;2015-04-01;2011-12-01;2011-12-01;2007-10-01;, 赵仁杰; 石磊; 石磊; 白永秀;,F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,1,1,1,1
刘瑞明,3100.0,2010-01-01;2011-01-01;, 石磊;,F;F;F;F;F;,经济与管理;经济与管理;,6101.0,2015-08-01;2015-04-01;2011-12-01;2011-12-01;2007-10-01;, 赵仁杰; 石磊; 石磊; 白永秀;,F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,2,1,1,1
刘瑶,2102.0,2012-10-01;, 孙浦阳;,F;F;F;,经济与管理;,1200.0,2011-03-01;,,F;F;,经济与管理;,1,1,1,0
刘畅,3201.0,2017-07-01;, 易福金; 徐志刚;,C;,经济与管理;,1100.0,2017-08-01;, 刘冲; 马光荣;,F;F;,经济与管理;,1,0,1,0
刘胜会,1100.0,2011-10-01;,,F;,经济与管理;,1200.0,2006-06-01;,,F;,经济与管理;,1,1,1,0
刘阳,3201.0,2013-12-01;, 董俊杰;,F;,经济与管理;,1200.0,2003-08-01;,,F;,经济与管理;,1,1,1,0
刘青,1200.0,2007-02-01;, 刘志远; 张健;,F;,经济与管理;,1100.0,2017-01-01;2012-07-01;, 陶攀; 洪俊杰;;,F;F;,经济与管理;经济与管理;,1,1,1,0
刘静,1100.0,2008-01-01;, Ruth Meinzen-Dick; 钱克明; 张陆彪; 蒋藜;,F;,经济与管理;,1200.0,2002-06-01;,,F;,经济与管理;,1,1,1,0
刘飞,4201.0,2013-02-01;,,F;F;F;,经济与管理;,6101.0,2015-04-01;2014-06-01;2011-08-01;,;;,F;F;F;F;,经济与管理;经济与管理;经济与管理;,2,1,1,0
卢晶亮,3100.0,2014-04-01;, 冯帅章; 艾春荣;,D;F;F;,经济与管理;,4401.0,2017-01-01;,,F;F;,经济与管理;,1,1,1,0
叶光亮,4401.0,2010-01-01;, 邓国营;,F;F;,经济与管理;,1100.0,2011-12-01;, 邓国营; 黎志刚;,F;F;,经济与管理;,1,1,1,1
吴先明,4201.0,2017-10-01;, 张楠; 赵奇伟;,F;F;,经济与管理;,1200.0,2002-08-01;,,F;,经济与管理;,1,1,1,0
吴志峰,4403.0,2006-05-01;,,F;F;,经济与管理;,1100.0,2005-06-01;,,F;,经济与管理;,1,1,1,0
吴联生,1100.0,2009-10-01;2007-08-01;2005-07-01;2004-03-01;2003-06-01;2002-04-01;, 王亚平; 王亚平;,F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,3502.0,2001-02-01;,,F;,经济与管理;,1,1,1,0
周丹,3301.0,2014-02-01;, 金雪军;,F;F;,经济与管理;,1100.0,2015-06-01;,,F;F;,经济与管理;,1,1,1,0
周云波,1200.0,2017-11-01;2009-07-01;2004-06-01;, 田柳; 陈岑;,F;F;F;F;F;,经济与管理;经济与管理;经济与管理;,1100.0,2015-12-01;, 陈岑; 田柳;,F;F;,经济与管理;,2,1,1,2
周冰,1200.0,2001-01-01;2008-04-01;2006-12-01;2004-10-01;, 郑志; 黄卫华; 商晨; 谭庆刚; 谭庆刚;,F;D;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;,3100.0,2012-02-01;,,F;,经济与管理;,1,1,1,0
周密,3201.0,2006-09-01;, 张桂霞;,F;,经济与管理;,1200.0,2017-02-01;2012-06-01;, 刘秉镰; 盛玉雪;,F;F;F;,经济与管理;经济与管理;,1,1,1,0
周建,3100.0,2013-02-01;2015-02-01;2009-01-01;2007-06-01;, 艾春荣; 王丹枫; 唐莹; 况明; 杨秀祯;,F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;,1100.0,2002-04-01;,,F;,经济与管理;,1,1,1,0
周建波,3100.0,2003-05-01;, 孙菊生;,F;,经济与管理;,1100.0,2017-04-01;2013-10-01;, 张博; 周建涛; 张博; 周建涛;,F;F;K;,经济与管理;经济与管理;,1,1,1,0
周彬,3301.0,2003-09-01;,,F;,经济与管理;,1100.0,2001-02-01;,,F;,经济与管理;,1,1,1,0
周文,5301.0,2012-05-01;, 赵果庆;,F;F;,经济与管理;,3100.0,2017-06-01;2016-03-01;, 赵方; 杨飞; 李鲁;,D;F;F;F;,经济与管理;经济与管理;,1,1,1,0
