author_first,author_unit_first,unit_city_code,ym,coauthor,class_num,mag_classn,class_num_num,mag_classn_num,author_first.1,unit_city_code.1,city_unitn,city_units
杨柳,中国人民银行;,1100.0,2001-02-01;,,F;,经济与管理;,1,1,,,2,中国人民银行;中国政法大学;
杨柳,中国政法大学;,1100.0,2015-08-01;,,F;,经济与管理;,1,1,,,2,中国人民银行;中国政法大学;
沈国兵,上海财经大学;,3100.0,2005-06-01;,,F;,经济与管理;,1,1,,,2,上海财经大学;复旦大学;
沈国兵,复旦大学;,3100.0,2015-04-01;2015-06-01;2010-06-01;2004-12-01;, 张鑫; 姚白羽;,F;F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;,1,1,,,2,上海财经大学;复旦大学;
王小龙,中国人民大学;,1100.0,2015-11-01;2011-08-01;, 方金金; 兰永生;,F;F;D;F;,经济与管理;经济与管理;,2,1,,,2,中国人民大学;北京大学;
王小龙,北京大学;,1100.0,2004-04-01;,,F;,经济与管理;,1,1,,,2,中国人民大学;北京大学;
王海港,中央财经大学;,1100.0,2009-09-01;, 黄少安; 李琴; 罗凤金;,F;F;,经济与管理;,1,1,,,2,中央财经大学;北京大学;
王海港,北京大学;,1100.0,2005-01-01;,,F;,经济与管理;,1,1,,,2,中央财经大学;北京大学;
王鹏,中国人民银行;,1100.0,2008-02-01;,,F;,经济与管理;,1,1,,,2,中国人民银行;北京交通大学;
王鹏,北京交通大学;,1100.0,2012-12-01;,,F;,经济与管理;,1,1,,,2,中国人民银行;北京交通大学;
范子英,上海财经大学;,3100.0,2015-05-01;2017-02-01;2016-01-01;2016-07-01;, 刘甲炎; 彭飞; 彭飞; 刘冲; 田彬彬;,F;F;F;D;F;F;F;D;,经济与管理;经济与管理;经济与管理;经济与管理;,2,1,,,2,上海财经大学;复旦大学;
范子英,复旦大学;,3100.0,2010-03-01;2010-04-01;2008-10-01;, 张军; 孟令杰; 石慧;,F;F;K;K;,经济与管理;经济与管理;经济与管理;,2,1,,,2,上海财经大学;复旦大学;
蒙英华,上海对外经贸大学;,3100.0,2015-10-01;, 蔡宏波; 黄建忠;,F;,经济与管理;,1,1,,,2,上海对外经贸大学;复旦大学;
蒙英华,复旦大学;,3100.0,2009-12-01;, 蔡宏波;,F;,经济与管理;,1,1,,,2,上海对外经贸大学;复旦大学;
许伟,北京大学;,1100.0,2009-04-01;, 陈斌开;,F;F;F;,经济与管理;,1,1,,,2,北京大学;国务院;
许伟,国务院;,1100.0,2016-05-01;, 陈斌开;,F;,经济与管理;,1,1,,,2,北京大学;国务院;
邵帅,上海财经大学;,3100.0,2016-09-01;2013-02-01;2011-12-01;2017-03-01;, 李欣; 曹建华; 杨莉莉; 杨莉莉; 黄涛; 杨莉莉; 张曦; 赵兴荣;,X;X;F;F;F;F;F;F;F;X;,经济与管理;经济与管理;经济与管理;经济与管理;,2,1,,,2,上海财经大学;复旦大学;
邵帅,复旦大学;,3100.0,2015-05-01;, 吕长江;,F;,经济与管理;,1,1,,,2,上海财经大学;复旦大学;
郭凯明,中山大学;,4401.0,2017-03-01;2017-04-01;, 杭静; 颜色; 颜色;,F;F;,经济与管理;经济与管理;,1,1,,,2,中山大学;暨南大学;
郭凯明,暨南大学;,4401.0,2016-06-01;2015-07-01;2016-04-01;, 颜色; 颜色; 余靖雯; 龚六堂;,F;C;F;F;F;C;,经济与管理;经济与管理;经济与管理;,2,1,,,2,中山大学;暨南大学;
郭峰,上海新金融研究院;,3100.0,2015-04-01;,,F;,经济与管理;,1,1,,,2,上海新金融研究院;上海财经大学;
郭峰,上海财经大学;,3100.0,2017-07-01;2017-07-01;, 石庆玲; 李欣;,D;X;G;,经济与管理;经济与管理;,3,1,,,2,上海新金融研究院;上海财经大学;
高梦滔,北京大学;,1100.0,2004-07-01;, 姚洋;,C;,经济与管理;,1,1,,,2,北京大学;北京师范大学;
高梦滔,北京师范大学;,1100.0,2005-12-01;, 姚洋;,F;,经济与管理;,1,1,,,2,北京大学;北京师范大学;
黄勋敬,中山大学;,4401.0,2009-05-01;,,F;F;,经济与管理;,1,1,,,2,中山大学;华南师范大学;
黄勋敬,华南师范大学;,4401.0,2007-01-01;, 胡晔;,F;,经济与管理;,1,1,,,2,中山大学;华南师范大学;
黄志刚,中央财经大学;,1100.0,2017-05-01;2011-03-01;2012-04-01;2010-07-01;, 许伟;,F;F;F;F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;,1,1,,,2,中央财经大学;北京大学;
黄志刚,北京大学;,1100.0,2009-06-01;,,F;F;,经济与管理;,1,1,,,2,中央财经大学;北京大学;
