author_first,unit_city_code,author_unit_first1,ym1,coauthor1,class_num1,mag_classn1,author_unit_first2,ym2,coauthor2,class_num2,mag_classn2,move_time,class_overlap,mag_overlap,coauthor_overlap
王鹏,1100.0,中国人民银行;,2008-02-01;,,F;,经济与管理;,北京交通大学;,2012-12-01;,,F;,经济与管理;,1,1,1,0
范子英,3100.0,上海财经大学;,2015-05-01;2017-02-01;2016-01-01;2016-07-01;, 刘甲炎; 彭飞; 彭飞; 刘冲; 田彬彬;,F;F;F;D;F;F;F;D;,经济与管理;经济与管理;经济与管理;经济与管理;,复旦大学;,2010-03-01;2010-04-01;2008-10-01;, 张军; 孟令杰; 石慧;,F;F;K;K;,经济与管理;经济与管理;经济与管理;,1,1,1,0
蒙英华,3100.0,上海对外经贸大学;,2015-10-01;, 蔡宏波; 黄建忠;,F;,经济与管理;,复旦大学;,2009-12-01;, 蔡宏波;,F;,经济与管理;,1,1,1,1
许伟,1100.0,北京大学;,2009-04-01;, 陈斌开;,F;F;F;,经济与管理;,国务院;,2016-05-01;, 陈斌开;,F;,经济与管理;,1,1,1,1
邵帅,3100.0,上海财经大学;,2016-09-01;2013-02-01;2011-12-01;2017-03-01;, 李欣; 曹建华; 杨莉莉; 杨莉莉; 黄涛; 杨莉莉; 张曦; 赵兴荣;,X;X;F;F;F;F;F;F;F;X;,经济与管理;经济与管理;经济与管理;经济与管理;,复旦大学;,2015-05-01;, 吕长江;,F;,经济与管理;,2,1,1,0
郭凯明,4401.0,中山大学;,2017-03-01;2017-04-01;, 杭静; 颜色; 颜色;,F;F;,经济与管理;经济与管理;,暨南大学;,2016-06-01;2015-07-01;2016-04-01;, 颜色; 颜色; 余靖雯; 龚六堂;,F;C;F;F;F;C;,经济与管理;经济与管理;经济与管理;,1,1,1,1
郭峰,3100.0,上海新金融研究院;,2015-04-01;,,F;,经济与管理;,上海财经大学;,2017-07-01;2017-07-01;, 石庆玲; 李欣;,D;X;G;,经济与管理;经济与管理;,1,0,1,0
高梦滔,1100.0,北京大学;,2004-07-01;, 姚洋;,C;,经济与管理;,北京师范大学;,2005-12-01;, 姚洋;,F;,经济与管理;,1,0,1,1
黄勋敬,4401.0,中山大学;,2009-05-01;,,F;F;,经济与管理;,华南师范大学;,2007-01-01;, 胡晔;,F;,经济与管理;,1,1,1,0
黄志刚,1100.0,中央财经大学;,2017-05-01;2011-03-01;2012-04-01;2010-07-01;, 许伟;,F;F;F;F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;,北京大学;,2009-06-01;,,F;F;,经济与管理;,1,1,1,0
