author_first,unit_city_code,ym,city_unitn,city_units,class_num,mag_classn,coauthor,author_first,unit_city_code,class_num_num,mag_classn_num
刘刚,1200.0,2003-10-01;2002-04-01;,1,南开大学;;,F;F;,经济与管理;经济与管理;,nan,刘刚,1200.0,1,1
刘力,1100.0,2002-08-01;,1,北京大学;;,F;,经济与管理;, 俞竞;,刘力,1100.0,1,1
刘力,4401.0,2005-08-01;,1,广东外语外贸大学;;,F;,经济与管理;,nan,刘力,4401.0,1,1
刘勇,3601.0,2001-03-01;,1,江西财经大学;;,F;,经济与管理;,nan,刘勇,3601.0,1,1
刘勇,4201.0,2012-12-01;,1,武汉大学;;,F;F;,经济与管理;, 白小滢; 邹薇;,刘勇,4201.0,1,1
刘啟仁,3502.0,2015-12-01;,1,厦门大学;;,F;,经济与管理;, 黄建忠;,刘啟仁,3502.0,1,1
刘啟仁,4401.0,2016-12-01;,1,暨南大学;;,F;,经济与管理;, 黄建忠;,刘啟仁,4401.0,1,1
刘喜和,3100.0,2017-06-01;,1,上海大学;;,F;F;,经济与管理;, 周扬; 穆圆媛;,刘喜和,3100.0,1,1
刘喜和,1200.0,2013-06-01;2008-08-01;,1,天津财经大学;;,F;F;F;F;F;,经济与管理;经济与管理;,nan,刘喜和,1200.0,1,1
刘德鹏,3201.0,2015-12-01;,1,南京大学;;,C;,经济与管理;, 贾良定; 孙雀密; 蔡亚华; 杨椅伊;,刘德鹏,3201.0,1,1
刘德鹏,3701.0,2017-11-01;,1,山东大学;;,F;,经济与管理;, 贾良定; 刘畅唱; 蔡亚华; 郑雅琴;,刘德鹏,3701.0,1,1
刘拥军,1100.0,2004-04-01;,1,中国农业大学;;,F;,经济与管理;,nan,刘拥军,1100.0,1,1
刘拥军,1200.0,2002-02-01;,1,南开大学;;,F;,经济与管理;,nan,刘拥军,1200.0,1,1
刘文革,2301.0,2005-07-01;2003-12-01;,1,哈尔滨商业大学;;,F;F;,经济与管理;经济与管理;, 关立新; 张广中; 曲振涛;,刘文革,2301.0,1,1
刘文革,3301.0,2016-11-01;2016-01-01;,1,浙江工商大学;;,F;F;F;F;,经济与管理;经济与管理;, 周方召; 肖园园; 谢杰; 孙瑾;,刘文革,3301.0,1,1
刘斌,1100.0,2003-09-01;2002-07-01;2001-07-01;2001-10-01;2016-03-01;2016-09-01;,2,中国人民银行;;对外经济贸易大学;;,F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;, 张怀清; 魏倩; 吕越; 祝坤福; 王乃嘉;,刘斌,1100.0,1,1
刘斌,1200.0,2012-01-01;,1,南开大学;;,F;F;F;,经济与管理;, 李磊;,刘斌,1200.0,1,1
刘晴,3401.0,2017-05-01;,1,合肥工业大学;;,F;F;,经济与管理;, 程玲; 邵智; 陈清萍;,刘晴,3401.0,1,1
刘晴,3100.0,2013-09-01;,1,上海财经大学;;,F;F;,经济与管理;, 徐蕾;,刘晴,3100.0,1,1
刘洪军,1200.0,2002-10-01;,1,南开大学;;,F;,经济与管理;,nan,刘洪军,1200.0,1,1
刘洪军,2301.0,2004-04-01;,1,哈尔滨商业大学;;,F;,经济与管理;,nan,刘洪军,2301.0,1,1
刘瑞明,1100.0,2016-10-01;2017-03-01;,1,中国人民大学;;,G;F;D;F;,经济与管理;经济与管理;, 赵仁杰; 段雨玮; 黄维乔;,刘瑞明,1100.0,3,1
刘瑞明,3100.0,2010-01-01;2011-01-01;,1,复旦大学;;,F;F;F;F;F;,经济与管理;经济与管理;, 石磊;,刘瑞明,3100.0,1,1
刘瑞明,6101.0,2015-08-01;2015-04-01;2011-12-01;2011-12-01;2007-10-01;,1,西北大学;;,F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;, 赵仁杰; 石磊; 石磊; 白永秀;,刘瑞明,6101.0,1,1
刘瑶,1200.0,2011-03-01;,1,南开大学;;,F;F;,经济与管理;,nan,刘瑶,1200.0,1,1
刘瑶,2102.0,2012-10-01;,1,东北财经大学;;,F;F;F;,经济与管理;, 孙浦阳;,刘瑶,2102.0,1,1
刘畅,1100.0,2017-08-01;,1,北京大学;;,F;F;,经济与管理;, 刘冲; 马光荣;,刘畅,1100.0,1,1
刘畅,3201.0,2017-07-01;,1,南京农业大学;;,C;,经济与管理;, 易福金; 徐志刚;,刘畅,3201.0,1,1
刘胜会,1100.0,2011-10-01;,1,中国人民银行;;,F;,经济与管理;,nan,刘胜会,1100.0,1,1
刘胜会,1200.0,2006-06-01;,1,南开大学;;,F;,经济与管理;,nan,刘胜会,1200.0,1,1
刘阳,1200.0,2003-08-01;,1,南开大学;;,F;,经济与管理;,nan,刘阳,1200.0,1,1
刘阳,3201.0,2013-12-01;,1,南京师范大学;;,F;,经济与管理;, 董俊杰;,刘阳,3201.0,1,1
刘青,1100.0,2012-07-01;2017-01-01;,2,中国社会科学院;;对外经济贸易大学;;,F;F;,经济与管理;经济与管理;,nan 陶攀; 洪俊杰;,刘青,1100.0,1,1
刘青,1200.0,2007-02-01;,1,南开大学;;,F;,经济与管理;, 刘志远; 张健;,刘青,1200.0,1,1
刘静,1200.0,2002-06-01;,1,南开大学;;,F;,经济与管理;,nan,刘静,1200.0,1,1
刘静,1100.0,2008-01-01;,1,中国农业科学院;;,F;,经济与管理;, Ruth Meinzen-Dick; 钱克明; 张陆彪; 蒋藜;,刘静,1100.0,1,1
刘飞,6101.0,2011-08-01;2015-04-01;2014-06-01;,2,西安交通大学;;西安邮电大学;;,F;F;F;F;,经济与管理;经济与管理;经济与管理;,nannan,刘飞,6101.0,1,1
刘飞,4201.0,2013-02-01;,1,中南财经政法大学;;,F;F;F;,经济与管理;,nan,刘飞,4201.0,1,1
卢晶亮,3100.0,2014-04-01;,1,上海财经大学;;,D;F;F;,经济与管理;, 冯帅章; 艾春荣;,卢晶亮,3100.0,2,1
卢晶亮,4401.0,2017-01-01;,1,暨南大学;;,F;F;,经济与管理;,nan,卢晶亮,4401.0,1,1
叶光亮,1100.0,2011-12-01;,1,中国人民大学;;,F;F;,经济与管理;, 邓国营; 黎志刚;,叶光亮,1100.0,1,1
叶光亮,4401.0,2010-01-01;,1,中山大学;;,F;F;,经济与管理;, 邓国营;,叶光亮,4401.0,1,1
吴先明,1200.0,2002-08-01;,1,南开大学;;,F;,经济与管理;,nan,吴先明,1200.0,1,1
