author_first,author_unit_first,unit_city_code,ym,coauthor,class_num,mag_classn,class_num_num,mag_classn_num,author_first.1,unit_city_code.1,city_unitn,city_units
杨文,深圳大学;,4403.0,2015-01-01;, 孙蚌珠; 程相宾;,F;,经济与管理;,1,1,,,1,深圳大学;
杨柳,华中师范大学;,4201.0,2016-10-01;, 李力; 吴婷;,F;,经济与管理;,1,1,,,1,华中师范大学;
杨汝岱,北京大学;,1100.0,2016-03-01;2015-02-01;2013-07-01;, 李艳; 朱诗娥;,F;F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,,,1,北京大学;
杨汝岱,湘潭大学;,4303.0,2011-11-01;2009-08-01;2008-08-01;2007-12-01;, 陈斌开; 朱诗娥; 陈斌开; 姚洋; 朱诗娥;,F;F;G;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;,2,1,,,1,湘潭大学;
林伯强,厦门大学;,3502.0,2015-09-01;2017-09-01;2016-10-01;2012-03-01;2010-08-01;2009-06-01;2009-12-01;2008-11-01;2008-05-01;2007-02-01;, 刘泓汛; 孙传旺; 姚昕; 刘畅; 刘希颖; 姚昕; 王锋; 牟敦国; 何晓萍; 魏巍贤; 李丕东;,F;F;F;F;X;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;F;,经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;经济与管理;,2,1,,,1,厦门大学;
林伯强,闽江学院;,3501.0,2014-04-01;2013-09-01;2012-11-01;, 李江龙; 杜克锐; 李爱军;,F;F;F;F;X;,经济与管理;经济与管理;经济与管理;,2,1,,,1,闽江学院;
林煜恩,吉林大学;,2201.0,2017-08-01;2015-08-01;2016-07-01;, 尚铎; 陈宜群; 池祥萱; 郑玉敏; 邵文霞; 池祥萱; 王柘君;,F;F;F;F;,经济与管理;经济与管理;经济与管理;,1,1,,,1,吉林大学;
林煜恩,武夷学院;,3507.0,2014-02-01;2014-03-01;, 池祥萱; 池祥萱; 李乐;,F;F;F;,经济与管理;经济与管理;,1,1,,,1,武夷学院;
林煜恩,温州大学;,3303.0,2014-12-01;, 陈秀玲; 池祥萱;,F;,经济与管理;,1,1,,,1,温州大学;
桂荷发,中国人民大学;,1100.0,2002-06-01;,,F;,经济与管理;,1,1,,,1,中国人民大学;
桂荷发,江西财经大学;,3601.0,2011-11-01;, 蔡明超; 石劲; 汪勇祥;,F;F;,经济与管理;,1,1,,,1,江西财经大学;
梁平汉,中山大学;,4401.0,2017-04-01;, 高楠;,D;,经济与管理;,1,1,,,1,中山大学;
梁平汉,西南财经大学;,5101.0,2012-10-01;,,C;F;,经济与管理;,2,1,,,1,西南财经大学;
梁正,南开大学;,1200.0,2001-02-01;,,F;,经济与管理;,1,1,,,1,南开大学;
梁正,清华大学;,1100.0,2003-10-01;,,F;,经济与管理;,1,1,,,1,清华大学;
