,city_name,city_code,year,month,temp,gtemp,rain,wind,sunshine,humidity
0,七台河市,2309.0,2017,1,-13.916666666666664,-9.02,0.14000000000000004,3.9066666666666654,4.066666666666666,64.1
1,七台河市,2309.0,2017,12,-15.577419354838707,-10.764516129032257,0.11612903225806452,3.7967741935483867,3.5806451612903225,62.161290322580655
2,三亚市,4602.0,2017,1,19.74838709677419,22.945161290322584,0.15483870967741936,7.296774193548387,4.519354838709679,87.58064516129032
3,三亚市,4602.0,2017,12,18.596774193548384,21.645161290322584,0.4129032258064516,7.741935483870968,4.9548387096774205,81.51612903225806
4,三明市,3504.0,2017,1,13.222580645161285,15.0,1.5387096774193547,1.4225806451612906,3.2258064516129026,78.35483870967742
5,三明市,3504.0,2017,12,11.332258064516127,12.306451612903226,0.4806451612903225,1.3774193548387097,4.458064516129033,70.51612903225806
6,三门峽市,4112.0,2017,1,2.1,2.1225806451612907,0.12258064516129033,2.1258064516129025,4.309677419354839,55.096774193548384
7,三门峽市,4112.0,2017,12,2.0903225806451613,1.0322580645161288,0.0,2.1387096774193544,6.4612903225806475,43.516129032258064
8,上海市,3100.0,2017,1,6.787096774193548,6.764516129032258,2.029032258064516,2.496774193548388,3.441935483870968,72.80645161290323
9,上海市,3100.0,2017,12,7.096774193548387,6.541935483870968,0.6516129032258065,2.261290322580645,5.22258064516129,64.93548387096774
10,上饶市,3611.0,2017,1,8.974193548387099,10.164516129032256,1.0419354838709676,2.206451612903225,2.9645161290322584,79.25806451612904
11,上饶市,3611.0,2017,12,7.958064516129032,8.938709677419356,1.8193548387096767,1.7451612903225804,4.4967741935483865,71.4193548387097
12,东莞市,4419.0,2017,1,16.180645161290318,18.7516129032258,0.3225806451612903,2.1967741935483875,4.532258064516129,80.3225806451613
13,东莞市,4419.0,2017,12,15.006451612903225,17.83548387096774,0.025806451612903226,2.5064516129032257,5.83225806451613,65.70967741935483
14,东营市,3705.0,2017,1,-0.3483870967741936,-0.2806451612903225,0.31935483870967746,1.8806451612903228,4.041935483870968,65.58064516129032
15,东营市,3705.0,2017,12,0.8677419354838711,-1.3774193548387093,0.0,1.8741935483870968,5.4967741935483865,52.935483870967744
16,中卫市,6405.0,2017,1,-4.667741935483871,-3.941935483870968,0.0,2.1935483870967745,7.145161290322582,40.25806451612903
17,中卫市,6405.0,2017,12,-4.538709677419353,-4.6161290322580655,0.01935483870967742,1.8387096774193548,6.974193548387097,48.12903225806453
18,中山市,4420.0,2017,1,17.241935483870964,18.870967741935484,0.5870967741935483,2.016129032258065,4.45483870967742,78.0
19,中山市,4420.0,2017,12,16.39032258064516,18.658064516129038,0.0064516129032258064,2.4032258064516125,5.6000000000000005,58.548387096774185
20,临夏回族自治州,6229.0,2017,1,-3.8806451612903214,-3.170967741935484,0.02903225806451613,1.2709677419354841,5.2709677419354835,54.806451612903224
21,临夏回族自治州,6229.0,2017,12,-4.483870967741935,-4.035483870967742,0.0,0.970967741935484,6.009677419354838,56.806451612903224
22,临汾市,1410.0,2017,1,1.280645161290323,-0.4000000000000001,0.03870967741935484,1.2451612903225806,3.5935483870967744,46.12903225806453
23,临汾市,1410.0,2017,12,0.7645161290322582,-0.8935483870967741,0.04838709677419355,1.2677419354838708,6.083870967741937,41.87096774193548
24,临沂市,3713.0,2017,1,0.2741935483870965,1.503225806451613,1.2129032258064514,1.854838709677419,4.396774193548386,71.54838709677419
25,临沂市,3713.0,2017,12,1.035483870967742,0.8774193548387096,0.029032258064516123,1.635483870967742,5.161290322580643,57.225806451612904
26,临沧市,5309.0,2017,1,12.312903225806453,14.351612903225806,1.196774193548387,1.0258064516129028,8.535483870967742,67.54838709677419
27,临沧市,5309.0,2017,12,12.832258064516127,14.170967741935485,0.0,1.0451612903225809,7.929032258064517,69.7741935483871
28,丹东市,2106.0,2017,1,-5.483870967741934,-4.648387096774194,0.3838709677419355,3.0387096774193547,6.087096774193549,56.806451612903224
29,丹东市,2106.0,2017,12,-6.1903225806451605,-5.029032258064516,0.04193548387096775,2.638709677419355,5.451612903225807,56.70967741935484
30,丽水市,3311.0,2017,1,10.587096774193544,11.567741935483868,1.1870967741935483,1.2516129032258063,2.4806451612903224,73.6774193548387
31,丽水市,3311.0,2017,12,8.6,9.551612903225807,1.0806451612903225,0.8870967741935485,3.1870967741935483,72.09677419354837
32,丽江市,5307.0,2017,1,7.241935483870968,8.735483870967743,0.0032258064516129032,2.712903225806452,8.822580645161292,40.903225806451616
33,丽江市,5307.0,2017,12,8.780645161290321,9.022580645161286,0.0,2.819354838709677,8.399999999999999,50.451612903225815
34,乌兰察布市,1509.0,2017,1,-10.941935483870964,-9.616129032258065,0.06451612903225806,2.0838709677419347,6.4645161290322575,49.87096774193547
35,乌兰察布市,1509.0,2017,12,-9.045161290322582,-9.36451612903226,0.0,2.9483870967741925,6.35483870967742,41.25806451612903
36,乌海市,1503.0,2017,1,-5.216129032258063,-2.7161290322580647,0.0,1.8129032258064517,7.7838709677419375,42.19354838709677
37,乌海市,1503.0,2017,12,-4.690322580645162,-3.3290322580645166,0.0032258064516129032,1.9,7.541935483870968,45.225806451612904
38,乌鲁木齐市,6501.0,2017,1,-18.658064516129038,-4.919354838709675,0.04838709677419355,1.3870967741935492,1.9903225806451612,80.5806451612903
39,乌鲁木齐市,6501.0,2017,12,-8.680645161290322,-8.625806451612902,0.1774193548387097,1.3516129032258064,2.670967741935484,81.96774193548387
40,乐山市,5111.0,2017,1,9.758064516129034,11.041935483870967,0.21935483870967745,1.0193548387096776,1.4258064516129034,73.74193548387096
