city_name,city_code,year,temp,gtemp,rain,wind,sunshine,humidity
七台河市,2309.0,2017,-13.916666666666664,-9.02,0.14000000000000004,3.9066666666666654,4.066666666666666,64.1
三亚市,4602.0,2017,19.74838709677419,22.945161290322584,0.15483870967741936,7.296774193548387,4.519354838709679,87.58064516129032
三明市,3504.0,2017,13.222580645161285,15.0,1.5387096774193547,1.4225806451612906,3.2258064516129026,78.35483870967742
三门峽市,4112.0,2017,2.1,2.1225806451612907,0.12258064516129033,2.1258064516129025,4.309677419354839,55.096774193548384
上海市,3100.0,2017,6.787096774193548,6.764516129032258,2.029032258064516,2.496774193548388,3.441935483870968,72.80645161290323
上饶市,3611.0,2017,8.974193548387099,10.164516129032256,1.0419354838709676,2.206451612903225,2.9645161290322584,79.25806451612904
东莞市,4419.0,2017,16.180645161290318,18.7516129032258,0.3225806451612903,2.1967741935483875,4.532258064516129,80.3225806451613
东营市,3705.0,2017,-0.3483870967741936,-0.2806451612903225,0.31935483870967746,1.8806451612903228,4.041935483870968,65.58064516129032
中卫市,6405.0,2017,-4.667741935483871,-3.941935483870968,0.0,2.1935483870967745,7.145161290322582,40.25806451612903
中山市,4420.0,2017,17.241935483870964,18.870967741935484,0.5870967741935483,2.016129032258065,4.45483870967742,78.0
临夏回族自治州,6229.0,2017,-3.8806451612903214,-3.170967741935484,0.02903225806451613,1.2709677419354841,5.2709677419354835,54.806451612903224
临汾市,1410.0,2017,1.280645161290323,-0.4000000000000001,0.03870967741935484,1.2451612903225806,3.5935483870967744,46.12903225806453
临沂市,3713.0,2017,0.2741935483870965,1.503225806451613,1.2129032258064514,1.854838709677419,4.396774193548386,71.54838709677419
临沧市,5309.0,2017,12.312903225806453,14.351612903225806,1.196774193548387,1.0258064516129028,8.535483870967742,67.54838709677419
丹东市,2106.0,2017,-5.483870967741934,-4.648387096774194,0.3838709677419355,3.0387096774193547,6.087096774193549,56.806451612903224
丽水市,3311.0,2017,10.587096774193544,11.567741935483868,1.1870967741935483,1.2516129032258063,2.4806451612903224,73.6774193548387
丽江市,5307.0,2017,7.241935483870968,8.735483870967743,0.0032258064516129032,2.712903225806452,8.822580645161292,40.903225806451616
乌兰察布市,1509.0,2017,-10.941935483870964,-9.616129032258065,0.06451612903225806,2.0838709677419347,6.4645161290322575,49.87096774193547
乌海市,1503.0,2017,-5.216129032258063,-2.7161290322580647,0.0,1.8129032258064517,7.7838709677419375,42.19354838709677
乌鲁木齐市,6501.0,2017,-18.658064516129038,-4.919354838709675,0.04838709677419355,1.3870967741935492,1.9903225806451612,80.5806451612903
乐山市,5111.0,2017,9.758064516129034,11.041935483870967,0.21935483870967745,1.0193548387096776,1.4258064516129034,73.74193548387096
九江市,3604.0,2017,3.5483870967741917,5.02258064516129,1.9741935483870965,3.1483870967741936,3.8645161290322583,72.25806451612904
云浮市,4453.0,2017,16.08709677419355,18.0,0.4258064516129033,1.4645161290322586,3.2548387096774194,84.64516129032258
亳州市,3416.0,2017,2.945161290322581,3.6354838709677417,1.4096774193548387,2.619354838709677,3.987096774193548,70.70967741935483
伊春市,2307.0,2017,-19.283870967741933,-9.454838709677416,0.17419354838709675,1.890322580645161,5.412903225806451,67.6774193548387
伊犁哈萨克自治州,6540.0,2017,-6.62258064516129,-0.6870967741935483,0.4451612903225806,0.8612903225806449,5.290322580645161,73.70967741935483
佛山市,4406.0,2017,15.43548387096774,18.65806451612903,0.43225806451612897,2.438709677419354,3.941935483870968,80.87096774193549
佳木斯市,2308.0,2017,-16.2516129032258,-5.345161290322581,0.20322580645161287,2.0548387096774188,6.064516129032258,64.16129032258064
保定市,1306.0,2017,-2.7225806451612904,-2.1193548387096786,0.061290322580645165,1.5032258064516126,3.4096774193548383,63.064516129032256
保山市,5305.0,2017,11.032258064516132,12.458064516129033,1.0225806451612904,1.225806451612903,8.851612903225806,61.58064516129032
信阳市,4115.0,2017,4.861290322580646,5.383870967741936,1.9645161290322577,1.848387096774193,3.538709677419356,69.96774193548387
克孜勒苏柯尔克孜自治州,6530.0,2017,-5.496774193548387,-5.129032258064514,0.4161290322580645,0.9258064516129032,3.674193548387096,69.58064516129032
克拉玛依市,6502.0,2017,-15.867741935483876,-5.396774193548388,0.05483870967741936,1.0419354838709678,2.9258064516129036,80.38709677419354
六安市,3415.0,2017,5.158064516129032,6.325806451612903,2.316129032258064,1.941935483870968,3.2645161290322577,74.96774193548387
六盘水市,5202.0,2017,6.277419354838711,8.374193548387098,0.3225806451612903,1.2741935483870968,2.493548387096774,85.74193548387096
兰州市,6201.0,2017,-6.806451612903224,-5.825806451612903,0.0,1.6612903225806457,6.570967741935482,41.74193548387097
兴安盟,1522.0,2017,-12.293548387096775,-9.274193548387096,0.0,2.67741935483871,6.645161290322582,47.74193548387096
内江市,5110.0,2017,8.741935483870968,10.151612903225807,0.21935483870967745,1.2516129032258063,1.6935483870967742,83.38709677419354
凉山彝族自治州,5134.0,2017,5.461290322580645,9.174193548387096,0.0,2.490322580645161,6.096774193548387,73.61290322580646
包头市,1502.0,2017,-9.087096774193547,-8.429032258064515,0.012903225806451613,2.6806451612903226,7.577419354838708,55.451612903225815
北京市,1100.0,2017,-3.77741935483871,-3.406451612903226,0.03870967741935484,1.4290322580645158,5.361290322580644,51.645161290322584
北海市,4505.0,2017,17.274193548387096,20.006451612903227,0.8741935483870968,2.1903225806451614,3.6322580645161286,87.03225806451613
十堰市,4203.0,2017,5.245161290322581,5.387096774193549,0.7258064516129032,1.651612903225807,3.458064516129032,67.35483870967742
