city_code,city_name,pro_code,pro_name,city_lat,city_long
1100,北京市,11,北京市,39.9026,116.4013
1200,天津市,12,天津市,39.0831,117.1947
1301,石家庄市,13,河北省,38.0417,114.5088
1302,唐山市,13,河北省,39.6292,118.1741
1303,秦皇岛市,13,河北省,39.9343,119.5947
1304,邯郸市,13,河北省,36.6255,114.5333
1305,邢台市,13,河北省,37.0701,114.4989
1306,保定市,13,河北省,38.873,115.4585
1307,张家口市,13,河北省,40.8231,114.8814
1308,承德市,13,河北省,40.9525,117.9561
1309,沧州市,13,河北省,38.3039,116.833
1310,廊坊市,13,河北省,39.537,116.6779
1311,衡水市,13,河北省,37.7383,115.6643
1401,太原市,14,山西省,37.8704,112.5489
1402,大同市,14,山西省,40.0756,113.2931
1403,阳泉市,14,山西省,37.8565,113.5741
1404,长治市,14,山西省,36.1952,113.1096
1405,晋城市,14,山西省,35.4911,112.8457
1406,朔州市,14,山西省,39.3304,112.426
1407,晋中市,14,山西省,37.6863,112.7462
1408,运城市,14,山西省,35.0271,111.0017
1409,忻州市,14,山西省,38.4161,112.7276
1410,临汾市,14,山西省,36.0882,111.5126
1411,吕梁市,14,山西省,37.5175,111.1379
1501,呼和浩特市,15,内蒙古自治区,40.8409,111.7422
1502,包头市,15,内蒙古自治区,40.6563,109.8346
1503,乌海市,15,内蒙古自治区,39.6541,106.7894
1504,赤峰市,15,内蒙古自治区,42.2559,118.8807
1505,通辽市,15,内蒙古自治区,43.6502,122.235
1506,鄂尔多斯市,15,内蒙古自治区,39.6072,109.7756
1507,呼伦贝尔市,15,内蒙古自治区,49.2096,119.7584
1508,巴彦淖尔市,15,内蒙古自治区,40.7418,107.3821
1509,乌兰察布市,15,内蒙古自治区,40.993,113.1253
1522,兴安盟,15,内蒙古自治区,46.0776,122.067
1525,锡林郭勒盟,15,内蒙古自治区,43.9335,116.0482
1529,阿拉善盟,15,内蒙古自治区,38.8519,105.729
2101,沈阳市,21,辽宁省,41.8033,123.4253
2102,大连市,21,辽宁省,38.9132,121.6097
2103,鞍山市,21,辽宁省,41.1067,122.9892
2104,抚顺市,21,辽宁省,41.8787,123.9514
2105,本溪市,21,辽宁省,41.2921,123.7606
2106,丹东市,21,辽宁省,39.999,124.349
2107,锦州市,21,辽宁省,41.0931,121.1214
2108,营口市,21,辽宁省,40.6654,122.2302
2109,阜新市,21,辽宁省,42.0195,121.6649
2110,辽阳市,21,辽宁省,41.2673,123.167
2111,盘锦市,21,辽宁省,41.1179,122.0652
2112,铁岭市,21,辽宁省,42.2207,123.7202
2113,朝阳市,21,辽宁省,41.5714,120.4447
2114,葫芦岛市,21,辽宁省,40.7096,120.8318
2201,长春市,22,吉林省,43.8147,125.3171
2202,吉林市,22,吉林省,43.8356,126.5439
2203,四平市,22,吉林省,43.1639,124.3442
2204,辽源市,22,吉林省,42.8854,125.1371
2205,通化市,22,吉林省,41.7262,125.934
2206,白山市,22,吉林省,41.9375,126.4177
2207,松原市,22,吉林省,45.1398,124.8188
2208,白城市,22,吉林省,45.6177,122.8331
2224,延边朝鲜族自治州,22,吉林省,42.8913,129.5089
2301,哈尔滨市,23,黑龙江省,45.8018,126.5289
2302,齐齐哈尔市,23,黑龙江省,47.3523,123.9116
2303,鸡西市,23,黑龙江省,45.2929,130.9619
2304,鹤岗市,23,黑龙江省,47.3475,130.2901
2305,双鸭山市,23,黑龙江省,46.6443,131.151
2306,大庆市,23,黑龙江省,46.5881,125.0976
2307,伊春市,23,黑龙江省,47.7252,128.8341
2308,佳木斯市,23,黑龙江省,46.7977,130.3111
2309,七台河市,23,黑龙江省,45.7695,130.9955
2310,牡丹江市,23,黑龙江省,44.5497,129.6261
2311,黑河市,23,黑龙江省,50.2436,127.5211
2312,绥化市,23,黑龙江省,46.6347,126.9737
2327,大兴安岭地区,23,黑龙江省,52.3352,124.7111
3100,上海市,31,上海市,31.2323,121.4692
3201,南京市,32,江苏省,32.0623,118.7917
3202,无锡市,32,江苏省,31.4925,120.3066
3203,徐州市,32,江苏省,34.206,117.2783
3204,常州市,32,江苏省,31.8121,119.9697
3205,苏州市,32,江苏省,31.3011,120.5811
3206,南通市,32,江苏省,31.9823,120.8901
3207,连云港市,32,江苏省,34.5976,119.2157
3208,淮安市,32,江苏省,33.6118,119.0098
3209,盐城市,32,江苏省,33.3488,120.1586
3210,扬州市,32,江苏省,32.3961,119.4075
3211,镇江市,32,江苏省,32.1897,119.4204
3212,泰州市,32,江苏省,32.458,119.9184
3213,宿迁市,32,江苏省,33.9633,118.27
3301,杭州市,33,浙江省,30.2764,120.1504
3302,宁波市,33,浙江省,29.8709,121.5398
3303,温州市,33,浙江省,27.9975,120.6953
3304,嘉兴市,33,浙江省,30.7562,120.7542
3305,湖州市,33,浙江省,30.8964,120.082
3306,绍兴市,33,浙江省,29.9984,120.582
3307,金华市,33,浙江省,29.082,119.6427
3308,衢州市,33,浙江省,28.9732,118.8547
3309,舟山市,33,浙江省,29.9878,122.2024
3310,台州市,33,浙江省,28.6593,121.4163
