prov,year,central,west,east,lnploan,plandm,pgdpg,govexp,edu,marketization,open1
henan,2007,1,0,0,0.019622454,0.25517 ,13.71498381,0.124603829,8.182659754,7.38,0.065427576
henan,2008,1,0,0,0.094938916,0.35587 ,11.24354293,0.126625783,8.335830212,7.78,0.06828266
henan,2009,1,0,0,0.348121656,0.39063 ,9.683687182,0.149162839,8.38743469,8.04,0.047076397
henan,2010,1,0,0,0.523272244,0.69256 ,11.86715297,0.147933775,8.656501825,8.04,0.052258684
heilongjiang,2005,0,0,1,-0.043197195,0.11328 ,10.88544049,0.142880461,8.45998167,5.33,0.142754629
heilongjiang,2006,0,0,1,0.593871524,0.14921 ,11.42211441,0.155911936,8.531964412,5.61,0.165748263
heilongjiang,2007,0,0,1,0.681534512,0.24904 ,11.28048897,0.167132135,8.697411485,5.76,0.186786477
heilongjiang,2008,0,0,1,0.169746084,0.25730 ,11.06465201,0.18549745,8.700886931,6.07,0.193316603
heilongjiang,2009,0,0,1,0.44799216,0.49247 ,10.79571415,0.218672144,8.745699717,6.11,0.128903427
heilongjiang,2010,0,0,1,0.634656174,0.92990 ,11.86715297,0.217316648,9.160036754,6.11,0.166814031
hubei,2005,1,0,0,-0.010621887,0.28769 ,15.44363533,0.118163513,7.822280993,6.42,0.113444874
hubei,2006,1,0,0,0.121805615,0.47732 ,12.39859798,0.13744721,8.257995355,6.85,0.12339659
hubei,2007,1,0,0,0.274140188,0.65660 ,13.71498381,0.136527953,8.423363828,7.05,0.122111329
hubei,2008,1,0,0,0.393620297,0.57035 ,12.39859798,0.145669667,8.48550887,7.33,0.128289738
hubei,2009,1,0,0,0.712141343,0.62004 ,12.4868982,0.161322727,8.488682313,7.65,0.0907121
hubei,2010,1,0,0,0.903399335,1.33709 ,13.71498381,0.156654628,9.008954824,7.65,0.110048899
hunan,2005,1,0,0,-0.338573586,0.25004 ,10.07499031,0.132414609,7.990917261,6.25,0.074858017
hunan,2006,1,0,0,-0.203573701,0.27042 ,10.61601958,0.138453074,8.168765973,6.74,0.076578867
hunan,2007,1,0,0,-0.051268731,0.50554 ,13.71498381,0.143759269,8.419651156,6.86,0.078740804
hunan,2008,1,0,0,0.09122984,0.39622 ,12.75133203,0.152766768,8.432772876,7.18,0.076333068
hunan,2009,1,0,0,0.380257543,0.32226 ,12.39859798,0.169257019,8.465346161,7.39,0.053043414
hunan,2010,1,0,0,0.542621581,0.76041 ,12.13322852,0.168504598,8.908304517,7.39,0.062122866
jilin,2005,0,0,1,0.204690297,0.21538 ,11.24498858,0.174329539,8.468291542,5.76,0.148281573
jilin,2006,0,0,1,0.351605716,0.36611 ,13.71696008,0.16803271,8.659701741,6.2,0.148242041
jilin,2007,0,0,1,0.455709717,0.45231 ,14.67067436,0.167230244,8.776382961,6.55,0.149495857
jilin,2008,0,0,1,0.570299014,0.40431 ,14.58291364,0.183703141,8.890183169,6.99,0.145766774
jilin,2009,0,0,1,0.822166062,0.54202 ,12.57501896,0.203223081,8.902767036,7.09,0.110139096
jilin,2010,0,0,1,0.974569256,1.47878 ,12.75133203,0.206199424,9.281107113,7.09,0.131832046
